cited_person_age,citation_time,charge_description,street,month,day_of_week,week_of_year,hour_of_day,place_id,age_breaks
19.0,747,Speed Greater Than R&P or Posted,E Shea Bl,7,2,28,7,E Shea Bl - 6xxx,"(17.999, 24.0]"
36.0,800,Speed Greater Than R&P or Posted,E Shea Bl,7,2,28,8,E Shea Bl - 6xxx,"(29.0, 37.0]"
61.0,853,Speed Greater Than R&P or Posted,N Goldwater Bl,7,2,28,8,N Goldwater Bl - 4xxx,"(50.0, 97.0]"
59.0,843,Speed Greater Than R&P or Posted,N Goldwater Bl,7,3,28,8,N Goldwater Bl - 4xxx,"(50.0, 97.0]"
23.0,2215,Speed Greater Than R&P or Posted,N Pima Rd,7,5,27,22,N Pima Rd - 2xxx,"(17.999, 24.0]"
66.0,1933,Speed Greater Than R&P or Posted,N Pima Rd,7,5,27,19,N Pima Rd - 2xxx,"(50.0, 97.0]"
72.0,2051,Speed Greater Than R&P or Posted,L101 / E Shea Bl,7,5,27,20,L101 / E Shea Bl -  xxx,"(50.0, 97.0]"
47.0,1225,Speed Greater Than R&P or Posted,N Pima Rd,7,5,27,12,N Pima Rd - 2xxx,"(37.0, 50.0]"
31.0,1534,Expired/No Arizona Registration,E McDowell Rd / N Scottsdale Rd,7,0,29,15,E McDowell Rd / N Scottsdale Rd -  xxx,"(29.0, 37.0]"
30.0,2232,Drug Paraphernalia-Possess/Use,E Frank Lloyd Wright Bl / L101,7,0,29,22,E Frank Lloyd Wright Bl / L101 -  xxx,"(29.0, 37.0]"
29.0,1421,Failure to Control Speed to Avoid A Collision,N Scottsdale Rd,7,6,28,14,N Scottsdale Rd - 1xxx,"(24.0, 29.0]"
46.0,2257,Expired/No Arizona Registration,N Scottsdale Rd / E Shea Bl,7,0,29,22,N Scottsdale Rd / E Shea Bl -  xxx,"(37.0, 50.0]"
57.0,1200,Speed Greater Than R&P or Posted,E McDowell Rd,7,6,27,12,E McDowell Rd - 8xxx,"(50.0, 97.0]"
23.0,1632,Speed Greater Than R&P or Posted,N Pima Rd,7,6,27,16,N Pima Rd - 2xxx,"(17.999, 24.0]"
23.0,1011,Fail to Obey Traffic Control Device,E Shea Bl,7,0,28,10,E Shea Bl - 8xxx,"(17.999, 24.0]"
34.0,1900,No Proof of Insurance,E McDowell Rd / N Scottsdale Rd,7,6,27,19,E McDowell Rd / N Scottsdale Rd -  xxx,"(29.0, 37.0]"
37.0,2344,Speed Greater Than R&P or Posted,E Thomas Rd,7,3,28,23,E Thomas Rd - 6xxx,"(29.0, 37.0]"
22.0,1855,Expired/No Arizona Registration,E Camelback Rd,7,1,28,18,E Camelback Rd - 7xxx,"(17.999, 24.0]"
18.0,302,Expired/No Arizona Registration,N Scottsdale Rd / E Shea Bl,7,5,27,3,N Scottsdale Rd / E Shea Bl -  xxx,"(17.999, 24.0]"
33.0,1828,Speed Greater Than R&P or Posted,E Redfield Rd,7,2,28,18,E Redfield Rd - 7xxx,"(29.0, 37.0]"
21.0,645,Speed Greater Than R&P or Posted,N Scottsdale Rd,7,1,28,6,N Scottsdale Rd - 9xxx,"(17.999, 24.0]"
47.0,840,Expired/No Arizona Registration,E Osborn Rd,7,2,28,8,E Osborn Rd - 7xxx,"(37.0, 50.0]"
31.0,700,Speed Greater Than R&P or Posted,N Pima Rd,7,2,28,7,N Pima Rd - 2xxx,"(29.0, 37.0]"
21.0,12,No Proof of Insurance,E Frank Lloyd Wright Bl / N Scottsdale Rd,7,4,27,0,E Frank Lloyd Wright Bl / N Scottsdale Rd -  xxx,"(17.999, 24.0]"
24.0,2120,Speed Greater Than R&P or Posted,N Pima Rd,7,3,28,21,N Pima Rd - 2xxx,"(17.999, 24.0]"
20.0,703,Speed Greater Than R&P or Posted,N Scottsdale Rd,7,3,28,7,N Scottsdale Rd - 2xxx,"(17.999, 24.0]"
25.0,758,Speed Greater Than R&P or Posted,N Hayden Rd,7,3,28,7,N Hayden Rd - 5xxx,"(24.0, 29.0]"
26.0,623,Speed Greater Than R&P or Posted,N Frank Lloyd Wright Bl,7,2,28,6,N Frank Lloyd Wright Bl - 1xxx,"(24.0, 29.0]"
60.0,640,Speed Greater Than R&P or Posted,N Pima Rd,7,2,28,6,N Pima Rd - 2xxx,"(50.0, 97.0]"
52.0,816,Speed Greater Than R&P or Posted,E McDowell Rd,7,6,27,8,E McDowell Rd - 6xxx,"(50.0, 97.0]"
21.0,1900,Speed Greater Than R&P or Posted,N Hayden Rd,7,1,28,19,N Hayden Rd - 7xxx,"(17.999, 24.0]"
38.0,1320,Expired/No Arizona Registration,E Shea Bl,7,2,28,13,E Shea Bl - 8xxx,"(37.0, 50.0]"
64.0,946,No Proof of Insurance,N Scottsdale Rd,7,3,28,9,N Scottsdale Rd - 1xxx,"(50.0, 97.0]"
25.0,529,Speed Greater Than R&P or Posted,E Osborn Rd,7,1,28,5,E Osborn Rd - 7xxx,"(24.0, 29.0]"
